1,Juan,González,DNI,28123456,20-28123456-1,RESPONSABLE_INSCRIPTO,15/05/1980,3425112233,juan.gonzalez@example.com,Ingeniero,Argentina,Argentina,Santa Fe,Santa Fe,San Martín,1234,1,A,S3000
2,María,Rodríguez,DNI,30456789,27-30456789-2,MONOTRIBUTO,20/11/1983,3414556677,maria.rodriguez@example.com,Medico,Argentina,Argentina,Buenos Aires,CABA,Rivadavia,456,,,C1010
3,Carlos,Pérez,DNI,25987654,20-25987654-3,CONSUMIDOR_FINAL,10/02/1977,3426223344,,Abogado,Argentina,Argentina,Córdoba,Córdoba,Belgrano,789,2,B,X5000
4,Ana,Sánchez,PASAPORTE,AZE987654,,CONSUMIDOR_FINAL,30/08/1986,3415334455,ana.sanchez@example.com,Estudiante,Española,España,Extranjero,Extranjero,Gran Vía,101,,,M28001
5,Luis,Martínez,DNI,29876543,20-29876543-5,RESPONSABLE_INSCRIPTO,01/12/1982,3424112233,luis.martinez@example.com,Comerciante,Argentina,Argentina,Mendoza,Mendoza,Las Heras,202,3,C,M5500
6,Elena,López,DNI,31001002,27-31001002-6,MONOTRIBUTO,12/07/1984,3416778899,,Docente,Argentina,Argentina,Entre Ríos,Paraná,Urquiza,303,,,E3100
7,José,García,DNI,31234567,20-31234567-7,CONSUMIDOR_FINAL,25/03/1985,3425223344,jose.garcia@example.com,Contador,Argentina,Argentina,Santa Fe,Rosario,Sarmiento,404,4,D,S2000
8,Sofía,Gómez,DNI,33456789,,MONOTRIBUTO,18/01/1988,3414998877,sofia.gomez@example.com,Arquitecto,Argentina,Argentina,Buenos Aires,CABA,Florida,505,,,C1005
9,Diego,Fernández,LC,17654321,20-17654321-9,RESPONSABLE_INSCRIPTO,05/09/1979,3426112233,,Empleado,Argentina,Argentina,Córdoba,Córdoba,25 de Mayo,606,5,A,X5001
10,Lucía,Díaz,DNI,34567890,27-34567890-0,CONSUMIDOR_FINAL,14/04/1990,3415123456,lucia.diaz@example.com,Diseñador,Argentina,Argentina,Santa Fe,Santa Fe,9 de Julio,707,,,S3000
11,Pedro,Romero,DNI,28123123,20-28123123-1,MONOTRIBUTO,10/06/1980,3425334455,pedro.romero@example.com,Ingeniero,Argentina,Argentina,Mendoza,Mendoza,Colón,808,6,B,M5501
12,Laura,Álvarez,PASAPORTE,B12345678,,RESPONSABLE_INSCRIPTO,15/10/1983,3414667788,,Medico,Uruguaya,Uruguay,Extranjero,Extranjero,18 de Julio,909,,,M11200
13,Miguel,Torres,DNI,26789789,20-26789789-3,CONSUMIDOR_FINAL,22/01/1978,3426334455,miguel.torres@example.com,Abogado,Argentina,Argentina,Entre Ríos,Paraná,San Martín,1010,7,C,E3100
14,Carmen,Ruiz,DNI,32123123,27-32123123-4,MONOTRIBUTO,28/07/1986,3415445566,carmen.ruiz@example.com,Estudiante,Argentina,Argentina,Santa Fe,Rosario,Rivadavia,1111,,,S2000
15,Javier,Vázquez,LE,18987876,20-18987876-5,EXENTO,30/11/1982,3424223344,,Comerciante,Argentina,Argentina,Buenos Aires,CABA,Corrientes,1212,8,D,C1043
16,Isabel,Medina,DNI,31234234,,CONSUMIDOR_FINAL,18/02/1985,3416889900,isabel.medina@example.com,Docente,Argentina,Argentina,Córdoba,Córdoba,General Paz,1313,,,X5000
17,David,Castillo,DNI,33456456,20-33456456-7,MONOTRIBUTO,28/03/1988,3425334455,david.castillo@example.com,Contador,Argentina,Argentina,Santa Fe,Santa Fe,Belgrano,1414,9,A,S3000
18,Patricia,Ortiz,DNI,27654654,27-27654654-8,RESPONSABLE_INSCRIPTO,14/08/1979,3414112233,,Arquitecto,Argentina,Argentina,Mendoza,Mendoza,Sarmiento,1515,,,M5500
